EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,2,4,6,11243,21792,22913,16.3,55,73,43,1279,
Titan Wolves,TW Rex,2,7,9,12295,26526,28244,18.7,68,76,27,3530,
Titan Wolves,TW Luna,5,6,5,11186,26462,29195,20.1,59,73,55,1750,
Titan Wolves,TW Kai,0,4,7,11296,23517,28367,19.8,66,73,20,1422,
Titan Wolves,TW Echo,0,5,5,12522,27686,28496,21.2,67,77,49,2565,
Crimson Dragons,CD Ryu,6,2,10,13384,31011,18390,17.6,80,86,29,5528,Crimson Dragons
Crimson Dragons,CD Fang,4,4,13,13673,32580,17580,18.9,79,92,45,4997,Crimson Dragons
Crimson Dragons,CD Kiro,3,2,14,14283,26809,19582,19.6,72,91,32,6599,Crimson Dragons
Crimson Dragons,CD Nox,2,1,10,14373,31903,17656,21.3,84,78,32,6630,Crimson Dragons
Crimson Dragons,CD Vale,4,2,13,14281,26322,23513,22.2,88,76,65,4212,Crimson Dragons
