EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,3,1,8,13417,22894,21292,17.6,78,89,21,6236,Titan Wolves
Titan Wolves,TW Rex,8,4,12,13719,26629,19185,18.9,77,92,41,6485,Titan Wolves
Titan Wolves,TW Luna,8,1,11,13304,30948,19094,19.2,88,83,65,6895,Titan Wolves
Titan Wolves,TW Kai,5,3,13,12915,25718,19478,21.2,83,92,30,5623,Titan Wolves
Titan Wolves,TW Echo,6,4,14,14087,28524,24145,21.6,75,79,53,3500,Titan Wolves
Crimson Dragons,CD Ryu,2,6,4,12233,16517,21316,17.6,56,64,35,4232,
Crimson Dragons,CD Fang,2,4,8,10695,17133,23682,17.7,71,66,44,2875,
Crimson Dragons,CD Kiro,4,4,4,12091,25245,27539,18.7,69,74,44,2252,
Crimson Dragons,CD Nox,3,7,8,12274,22681,23539,20.8,73,66,22,2465,
Crimson Dragons,CD Vale,0,4,9,12468,17635,23425,21.7,70,59,64,2264,
