EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Solar Kings,SK Blaze,6,3,14,13572,30934,16597,17.5,87,85,30,6349,Solar Kings
Solar Kings,SK Orion,7,2,13,12804,22508,19082,18.5,79,74,31,6093,Solar Kings
Solar Kings,SK Ares,4,1,7,12952,25921,20919,18.8,72,76,51,3537,Solar Kings
Solar Kings,SK Mio,2,2,13,13632,30053,23249,20.0,77,76,41,5706,Solar Kings
Solar Kings,SK Zen,3,4,11,13822,27975,18542,22.3,66,85,55,6377,Solar Kings
Mystic Owls,MO Rune,0,5,4,10701,24041,22693,17.5,53,67,15,1271,
Mystic Owls,MO Sage,4,6,7,11046,17898,28817,18.5,56,65,33,946,
Mystic Owls,MO Hex,1,6,10,10884,22531,25772,20.0,69,62,56,3019,
Mystic Owls,MO Aura,3,4,7,11401,18835,23297,20.2,67,65,43,1296,
Mystic Owls,MO Nyx,4,6,8,12807,17708,23265,21.7,69,62,66,2876,
