EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Azure Phoenix,AP Sky,8,2,14,14045,29010,20251,17.0,67,83,19,3403,Azure Phoenix
Azure Phoenix,AP Frost,3,4,12,13227,28288,16633,17.4,82,80,36,4008,Azure Phoenix
Azure Phoenix,AP Volt,4,3,8,13146,32736,21359,19.6,70,85,64,4298,Azure Phoenix
Azure Phoenix,AP Neo,2,4,11,13541,23095,24231,20.3,84,92,21,4582,Azure Phoenix
Azure Phoenix,AP Iris,4,2,11,13803,30090,16348,22.4,68,81,66,5305,Azure Phoenix
Shadow Ravens,SR Crow,3,5,4,12523,24414,21795,17.7,67,77,20,2060,
Shadow Ravens,SR Shade,3,7,10,10838,18229,27158,18.7,63,67,48,2844,
Shadow Ravens,SR Vex,1,6,9,11855,23773,22158,19.3,51,66,59,4313,
Shadow Ravens,SR Onyx,0,7,6,11142,25896,26465,20.7,52,70,39,3991,
Shadow Ravens,SR Ash,3,7,7,10980,25869,26890,21.1,59,67,62,3208,
