EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Crimson Dragons,CD Ryu,5,3,14,13621,26513,18697,16.8,87,76,21,5085,Crimson Dragons
Crimson Dragons,CD Fang,5,2,10,12617,29838,18828,18.0,80,92,29,3874,Crimson Dragons
Crimson Dragons,CD Kiro,5,4,13,13612,26658,22495,18.8,88,78,39,5798,Crimson Dragons
Crimson Dragons,CD Nox,4,2,9,12604,33303,17369,20.7,81,80,15,4112,Crimson Dragons
Crimson Dragons,CD Vale,2,3,10,14608,28580,24113,21.6,70,91,60,5098,Crimson Dragons
Golden Lions,GL Leo,2,6,9,11533,23862,21829,17.3,69,76,38,3157,
Golden Lions,GL Roar,3,5,3,10966,21296,22356,18.7,69,64,16,3054,
Golden Lions,GL Max,3,4,5,11090,24065,22356,19.2,73,67,54,4017,
Golden Lions,GL Sol,0,7,5,12246,27428,29110,21.0,54,75,16,2885,
Golden Lions,GL Lux,1,4,9,12362,20289,26336,22.5,69,60,34,2427,
