EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Naomi,ʏᴜᴜᴋiᴊiᴍe,3,6,3,7464,69400,52900,18,,75,8,0,
Team Naomi,ValanorYT,1,3,2,9057,43100,49400,21,,93,9,2800,
Team Naomi,ᴬᶠᵏFernet ,1,2,5,7841,54600,85400,19,,75,7,198,
Team Naomi,broners,0,6,4,7790,38300,80200,18,,50,9,0,
Team Naomi,Naomi_Veneses,3,4,3,10065,54400,44900,24,,75,8,0,
Team Ylane,ටᴘ┊ʀɪᴜᴏᴋ,4,1,10,10088,89500,48200,19,,66,4,3900,Team Ylane
Team Ylane,Ylane ,1,2,8,10513,52400,35200,19,,42,10,10900,Team Ylane
Team Ylane,theKRIZERO,0,2,11,9246,28200,55700,17,,52,8,5600,Team Ylane
Team Ylane,DawnShardYT,6,3,11,10584,88000,79800,19,,80,4,236,Team Ylane
Team Ylane,ֆ4ɨȶ4ʍ4,10,0,6,13917,54700,40900,26,,76,8,1200,Team Ylane
