EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Annie,LUISJUEGOS,0,4,1,3500,31000,30000,21,,50,0,0,
Team Annie,jack_jx,0,4,0,3000,15200,31600,17,,0,3,0,
Team Annie,ᵀⁱᵏᵗᵒᵏ°Felon,0,3,2,3100,22200,46100,18,,100,7,0,
Team Annie,MindCrzyy,0,3,1,3000,9100,29600,18,,50,0,0,
Team Annie,RiineOG,2,4,0,4400,21600,31600,26,,100,1,0,
Team Boomking,Boomking,4,1,3,4900,17900,26400,19,,38,2,1500,Team Boomking
Team Boomking,NS丨々丨Kaos,3,0,7,6300,20300,13500,24,,55,1,1900,Team Boomking
Team Boomking,Lyón,5,0,10,5800,65500,18000,22,,83,2,21700,Team Boomking
Team Boomking,Kur0bocchi,1,1,13,3800,17300,31900,14,,77,2,501,Team Boomking
Team Boomking,Shino_stvxn,5,0,11,5300,47800,9400,20,,88,21,4200,Team Boomking
