EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Naomi,ʏᴜᴜᴋiᴊiᴍe,3,5,4,11630,74000,71100,19,,53,13,0,
Team Naomi,ValanorYT,0,8,4,9370,66700,126700,16,,30,52,2600,
Team Naomi,ᴬᶠᵏFernet ,8,3,4,17121,196700,93600,28,,92,8,0,
Team Naomi,broners,1,5,8,9878,47300,127500,16,,69,18,2600,
Team Naomi,Naomi_Veneses,1,6,7,12197,101300,67300,20,,61,32,0,
Team Ylane,ටᴘ┊ʀɪᴜᴏᴋ,2,1,12,12496,118400,99700,19,,51,39,2800,Team Ylane
Team Ylane,skruball27,7,1,7,14262,140400,41400,21,,51,7,12500,Team Ylane
Team Ylane,theKRIZERO,4,4,16,11329,59300,172600,17,,74,38,1100,Team Ylane
Team Ylane,DawnShardYT,1,6,16,11891,75600,121500,18,,62,19,6600,Team Ylane
Team Ylane,ֆ4ɨȶ4ʍ4,13,1,5,16799,92600,50900,25,,66,3,11600,Team Ylane
