EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Creador 150,JesteredOne,1,5,3,5500,24400,57900,18,,100,8,0,
Team Creador 150,Creador150,0,6,4,5700,51400,56100,19,,100,81,0,
Team Creador 150,WithdeathPZ,2,4,2,7800,98500,53900,26,,100,0,0,
Team Creador 150,Cralex,0,5,0,5500,13800,43300,18,,0,11,0,
Team Creador 150,UzielMorato,1,6,2,5500,16600,49300,18,,75,6,0,
Team Matute,ᶻᶻᶻSick,4,1,11,9300,50100,34100,26,,57,10,11600,
Team Matute,Matute Wolf,0,2,20,5700,22900,65300,14,,76,11,2300,
Team Matute,RabaNito,4,0,17,7700,71500,28000,19,,80,23,3100,
Team Matute,ʜᴀɴᴢᴏ.ᐟ,9,1,8,9100,44700,57800,22,,65,7,10200,
Team Matute,LᴀnZhi,9,0,8,9600,71300,19600,23,,65,11,13800,
