EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,4,2,14,14036,26628,17913,17.2,78,80,23,5180,Titan Wolves
Titan Wolves,TW Rex,4,4,13,12733,30146,20245,18.2,67,88,46,5502,Titan Wolves
Titan Wolves,TW Luna,4,4,14,13278,30791,22476,19.6,76,87,56,5622,Titan Wolves
Titan Wolves,TW Kai,5,2,9,13530,27529,22614,21.2,78,80,40,4888,Titan Wolves
Titan Wolves,TW Echo,7,3,9,12674,31137,21188,22.2,76,82,36,3734,Titan Wolves
Thunder Bulls,TB Bolt,0,7,5,12295,25248,22848,17.6,66,62,32,1170,
Thunder Bulls,TB Storm,5,6,3,12012,19223,27653,17.9,54,64,15,4311,
Thunder Bulls,TB Toro,3,7,5,12283,19889,21213,18.9,57,67,63,4074,
Thunder Bulls,TB Rush,0,4,6,12010,25866,27533,20.3,57,66,25,2931,
Thunder Bulls,TB Ray,2,5,5,12942,18920,24255,21.9,51,63,49,2794,
