EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Creador 150,JesteredOne,0,6,0,5200,10000,74400,16,,0,20,680,
Team Creador 150,Creador150,1,2,0,6200,58300,42400,20,,100,12,5900,
Team Creador 150,WithdeathPZ,0,0,0,9300,94600,46900,30,,0,1,2800,
Team Creador 150,Cralex,0,4,0,5400,15200,48200,17,,0,12,0,
Team Creador 150,UzielMorato,0,3,0,5400,18300,53100,17,,0,5,0,
Team Matute,ᶻᶻᶻSick,7,0,6,11500,69200,58200,27,,86,6,24100,Team Matute
Team Matute,Matute Wolf,0,0,13,6400,45000,52700,15,,86,30,1100,Team Matute
Team Matute,RabaNito,4,1,6,7600,66800,32000,18,,66,20,1700,Team Matute
Team Matute,ʜᴀɴᴢᴏ.ᐟ,3,0,3,8300,16800,28900,20,,40,2,7100,Team Matute
Team Matute,LᴀnZhi,1,0,8,8500,68200,24600,20,,650,3,14300,Team Matute
