EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Franzero,FranZero,,,,6300,24900,17300,17,,42,1,15100,Team Franzero
Team Franzero,NrVex,,,,9800,63500,49400,27,,78,4,3800,Team Franzero
Team Franzero,Kensikock,,,,6900,60400,19700,19,,52,1,7000,Team Franzero
Team Franzero,アオギリᵀᴬᵀᴬᴿᴬ,,,,6800,20900,23200,119,,42,11,7100,Team Franzero
Team Franzero,Milexht,,,,6100,23400,43600,17,,89,17,6000,Team Franzero
Team  Carol,CR1N.Lewon,,,,5600,41800,35600,23,,0,6,39,
Team  Carol,CarolVillanes,,,,3700,4700,34600,23,,0,1,0,
Team  Carol,Tk:LunaVS⚸,,,,3900,21000,34700,16,,0,13,0,
Team  Carol,inemesis102,,,,4800,35600,38500,20,,0,9,0,
Team  Carol,✰RS_coloris✰,,,,5900,50000,49600,25,,100,10,0,
