EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Annie,RiineOG,0,5,2,4300,30000,39100,19,,66,3,0,
Team Annie,MindCrzyy,1,5,1,27500,27500,37000,66,,66,9,0,
Team Annie,jack_jx,1,3,2,5000,21500,56100,22,,100,32,0,
Team Annie,ᵀⁱᵏᵗᵒᵏ°Felon,0,4,3,4300,25400,65300,19,,100,27,0,
Team Annie,LUISJUEGOS,1,5,1,4800,46600,34600,21,,66,4,60,
Team Boomking,Boomking,5,0,8,7800,28900,51300,21,,59,11,1700,Team Boomking
Team Boomking,NS丨々丨Kaos,3,0,12,8900,71200,27300,68,,68,4,17100,Team Boomking
Team Boomking,Shino_stvxn,4,0,15,6900,70800,18000,19,,86,34,3100,Team Boomking
Team Boomking,Lyón,10,1,6,8300,45400,28600,22,,86,34,3100,Team Boomking
Team Boomking,Kur0bocchi,0,2,13,5100,15700,25700,14,,59,6,4100,Team Boomking
