EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Ylane,ටᴘ┊ʀɪᴜᴏᴋ,2,4,1,8134,93700,56800,19,,42,81,0,
Team Ylane,Ylane,1,5,2,8336,52700,61000,20,,42,0,3000,
Team Ylane,theKRIZERO,0,5,2,6866,25400,114700,16,,28,18,0,
Team Ylane,DawnShardYT,1,4,3,7890,58000,78300,19,,57,22,0,
Team Ylane,ֆ4ɨȶ4ʍ4,3,2,2,10933,22900,40100,26,,71,1,4900,
Team Matute,Matute Wolf,3,0,11,8642,57700,45500,17,,70,14,2100,Team Matute
Team Matute,RabaNito,1,1,9,8921,38900,55500,17,,50,14,7500,Team Matute
Team Matute,ᶻᶻᶻSick ,11,2,5,13246,133800,64000,26,,80,18,14600,Team Matute
Team Matute,LᴀnZhi,3,1,8,10833,65300,45200,21,,55,24,4900,Team Matute
Team Matute,Nao Lx ,2,3,6,9638,55200,42500,19,,40,3,0,Team Matute
