EQUIPO,JUGADOR,DÑO infligido,DÑO recibido,Oro total,Participación,Eliminaciones,Muertes,Asistencias,Control de masas,DÑO a las torres,GANADOR
Escuadron Squitle,Gorduri_Cap,21100,57500,5300,25,0,3,1,8,,Los reprobados
Escuadron Squitle,Sr☞DarkHonos,53100,32100,6200,100,3,3,1,9,726,
Escuadron Squitle,axelito.ulc,37600,28600,5200,25,1,3,0,3,3100,
Escuadron Squitle,Pandaaaaaa:3,23000,64400,4800,75,0,2,3,7,0,
Escuadron Squitle,Kevinivek,17800,33900,4800,25,0,2,1,1,0,
Los reprobados,/WD/,100700,31900,10400,84,5,0,6,6,27300,
Los reprobados,Cloxer.,13500,28400,4500,76,0,1,10,0,8600,
Los reprobados,未知用戶 ,41000,33400,7200,61,4,1,4,19,8500,
Los reprobados,zZzing,44300,52400,8700,69,4,1,5,9,6000,
Los reprobados,AkameUwU,17000,6500,4100,30,0,1,4,0,1100,
