EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Team Boomking,Boomking,0,2,2,13100,57600,173800,19,,47,11,7900,Team Boomking
Team Boomking,NS丨々丨Kaos,5,2,2,17700,138200,106800,26,,100,0,12200,Team Boomking
Team Boomking,Shino_stvxn,1,1,6,11800,122100,47300,17,,78,40,667,Team Boomking
Team Boomking,Lyón,2,0,5,14200,125300,73200,21,,73,9,4100,Team Boomking
Team Boomking,Kur0bocchi,1,2,6,11600,58700,38700,17,,94,35,519,Team Boomking
Team Franzero,FranZero,2,3,11,11900,99200,87100,18,,54,2,10400,
Team Franzero,Milexht,0,2,7,10300,41400,122000,16,,72,31,11200,
Team Franzero,Kensikock,1,2,4,12500,114000,62800,19,,81,30,0,
Team Franzero,AmmarTF,1,5,13,17800,119600,122100,27,,63,12,71200,
Team Franzero,アオギリᵀᴬᵀᴬᴿᴬ,3,3,11,13800,65500,107800,21,,72,27,38100,
