EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Crimson Dragons,CD Ryu,7,4,7,13438,31681,18822,16.4,74,87,43,6659,Crimson Dragons
Crimson Dragons,CD Fang,6,1,9,14267,24395,23008,18.5,78,82,25,4117,Crimson Dragons
Crimson Dragons,CD Kiro,6,2,10,12979,31161,20960,19.2,80,87,50,6154,Crimson Dragons
Crimson Dragons,CD Nox,5,1,12,13047,30587,21478,20.7,69,76,39,5017,Crimson Dragons
Crimson Dragons,CD Vale,2,1,12,13235,33686,21125,22.4,69,77,38,5451,Crimson Dragons
Azure Phoenix,AP Sky,1,4,6,11118,23105,22295,17.0,73,73,42,2374,
Azure Phoenix,AP Frost,0,7,6,10700,18104,27678,18.3,63,75,42,3516,
Azure Phoenix,AP Volt,2,7,4,12002,18256,21954,18.8,51,62,61,1255,
Azure Phoenix,AP Neo,2,4,4,11094,23895,27548,20.1,60,71,17,3266,
Azure Phoenix,AP Iris,4,6,7,11596,20477,28349,21.2,56,71,67,2009,
