EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Crimson Dragons,CD Ryu,6,4,13,12659,26943,18933,17.2,74,85,44,6237,Crimson Dragons
Crimson Dragons,CD Fang,4,3,9,13466,23301,21255,18.9,81,85,29,6550,Crimson Dragons
Crimson Dragons,CD Kiro,3,3,12,13447,33619,20305,19.7,78,89,44,6520,Crimson Dragons
Crimson Dragons,CD Nox,7,1,13,13189,29469,21542,20.5,79,77,47,3947,Crimson Dragons
Crimson Dragons,CD Vale,3,3,14,12955,32686,23914,22.4,66,74,32,6591,Crimson Dragons
Azure Phoenix,AP Sky,5,4,10,11913,21835,25996,17.3,57,64,32,2058,
Azure Phoenix,AP Frost,5,4,6,10693,22769,28683,18.2,60,70,46,3881,
Azure Phoenix,AP Volt,4,4,6,12541,27206,22525,19.7,70,67,38,1487,
Azure Phoenix,AP Neo,0,7,9,11945,22082,28930,21.2,63,76,21,1173,
Azure Phoenix,AP Iris,3,4,9,11200,23112,28120,21.4,72,76,37,2644,
