EQUIPO,JUGADOR,Eliminaciones,Muertes,Asistencias,Oro,Daño infligido a héroes,Daño recibido de héroes,Porcentaje de oro,Presencia en peleas en equipo,Participación,Control de masas,Daño a las torres,GANADOR
Titan Wolves,TW Nova,5,2,8,13721,23864,22127,16.3,67,85,15,3732,Titan Wolves
Titan Wolves,TW Rex,4,4,7,12420,28936,22280,17.8,74,86,38,3761,Titan Wolves
Titan Wolves,TW Luna,5,2,7,12950,30163,17522,19.5,75,82,33,6499,Titan Wolves
Titan Wolves,TW Kai,7,1,11,13048,27423,20607,20.7,71,75,49,4209,Titan Wolves
Titan Wolves,TW Echo,7,3,9,12762,28789,16376,21.3,67,82,38,4807,Titan Wolves
Solar Kings,SK Blaze,1,4,4,11616,22018,28592,16.6,65,72,49,1028,
Solar Kings,SK Orion,2,6,3,10837,25379,25502,17.7,53,74,45,2419,
Solar Kings,SK Ares,0,6,9,12238,22963,25532,18.7,61,59,44,2214,
Solar Kings,SK Mio,4,5,10,12635,26354,27121,20.1,71,66,17,1902,
Solar Kings,SK Zen,2,6,5,12441,26377,27129,21.8,73,59,33,2260,
